"kommune_nr","aar","bosetting","enhet","tabellvariabel","tabell_navn"
"0101",2015,"anmodning","personer","30","bosatt_anmodede"
"0104",2015,"anmodning","personer","40","bosatt_anmodede"
"0105",2015,"anmodning","personer","65","bosatt_anmodede"
"0106",2015,"anmodning","personer","90","bosatt_anmodede"
"0111",2015,"anmodning","personer","15","bosatt_anmodede"
"0118",2015,"anmodning","personer","15","bosatt_anmodede"
"0119",2015,"anmodning","personer","10","bosatt_anmodede"
"0121",2015,"anmodning","personer","10","bosatt_anmodede"
"0122",2015,"anmodning","personer","10","bosatt_anmodede"
"0123",2015,"anmodning","personer","15","bosatt_anmodede"
"0124",2015,"anmodning","personer","25","bosatt_anmodede"
"0125",2015,"anmodning","personer","25","bosatt_anmodede"
"0127",2015,"anmodning","personer","10","bosatt_anmodede"
"0128",2015,"anmodning","personer","15","bosatt_anmodede"
"0135",2015,"anmodning","personer","15","bosatt_anmodede"
"0136",2015,"anmodning","personer","20","bosatt_anmodede"
"0137",2015,"anmodning","personer","15","bosatt_anmodede"
"0138",2015,"anmodning","personer","10","bosatt_anmodede"
"0211",2015,"anmodning","personer","18","bosatt_anmodede"
"0213",2015,"anmodning","personer","58","bosatt_anmodede"
"0214",2015,"anmodning","personer","18","bosatt_anmodede"
"0215",2015,"anmodning","personer","18","bosatt_anmodede"
"0216",2015,"anmodning","personer","20","bosatt_anmodede"
"0217",2015,"anmodning","personer","40","bosatt_anmodede"
"0219",2015,"anmodning","personer","155","bosatt_anmodede"
"0220",2015,"anmodning","personer","90","bosatt_anmodede"
"0221",2015,"anmodning","personer","15","bosatt_anmodede"
"0226",2015,"anmodning","personer","15","bosatt_anmodede"
"0227",2015,"anmodning","personer","15","bosatt_anmodede"
"0228",2015,"anmodning","personer","25","bosatt_anmodede"
"0229",2015,"anmodning","personer","15","bosatt_anmodede"
"0230",2015,"anmodning","personer","55","bosatt_anmodede"
"0231",2015,"anmodning","personer","75","bosatt_anmodede"
"0233",2015,"anmodning","personer","20","bosatt_anmodede"
"0234",2015,"anmodning","personer","10","bosatt_anmodede"
"0235",2015,"anmodning","personer","35","bosatt_anmodede"
"0236",2015,"anmodning","personer","30","bosatt_anmodede"
"0237",2015,"anmodning","personer","25","bosatt_anmodede"
"0238",2015,"anmodning","personer","15","bosatt_anmodede"
"0239",2015,"anmodning","personer","10","bosatt_anmodede"
"0301",2015,"anmodning","personer","720","bosatt_anmodede"
"0402",2015,"anmodning","personer","40","bosatt_anmodede"
"0403",2015,"anmodning","personer","60","bosatt_anmodede"
"0412",2015,"anmodning","personer","55","bosatt_anmodede"
"0415",2015,"anmodning","personer","15","bosatt_anmodede"
"0417",2015,"anmodning","personer","30","bosatt_anmodede"
"0418",2015,"anmodning","personer","10","bosatt_anmodede"
"0419",2015,"anmodning","personer","15","bosatt_anmodede"
"0420",2015,"anmodning","personer","10","bosatt_anmodede"
"0423",2015,"anmodning","personer","10","bosatt_anmodede"
"0425",2015,"anmodning","personer","15","bosatt_anmodede"
"0426",2015,"anmodning","personer","10","bosatt_anmodede"
"0427",2015,"anmodning","personer","50","bosatt_anmodede"
"0428",2015,"anmodning","personer","15","bosatt_anmodede"
"0429",2015,"anmodning","personer","10","bosatt_anmodede"
"0430",2015,"anmodning","personer","10","bosatt_anmodede"
"0432",2015,"anmodning","personer","10","bosatt_anmodede"
"0434",2015,"anmodning","personer","10","bosatt_anmodede"
"0436",2015,"anmodning","personer","15","bosatt_anmodede"
"0437",2015,"anmodning","personer","20","bosatt_anmodede"
"0438",2015,"anmodning","personer","15","bosatt_anmodede"
"0439",2015,"anmodning","personer","10","bosatt_anmodede"
"0441",2015,"anmodning","personer","10","bosatt_anmodede"
"0501",2015,"anmodning","personer","55","bosatt_anmodede"
"0502",2015,"anmodning","personer","55","bosatt_anmodede"
"0511",2015,"anmodning","personer","10","bosatt_anmodede"
"0512",2015,"anmodning","personer","10","bosatt_anmodede"
"0513",2015,"anmodning","personer","10","bosatt_anmodede"
"0514",2015,"anmodning","personer","10","bosatt_anmodede"
"0515",2015,"anmodning","personer","12","bosatt_anmodede"
"0516",2015,"anmodning","personer","20","bosatt_anmodede"
"0517",2015,"anmodning","personer","15","bosatt_anmodede"
"0519",2015,"anmodning","personer","10","bosatt_anmodede"
"0520",2015,"anmodning","personer","10","bosatt_anmodede"
"0521",2015,"anmodning","personer","15","bosatt_anmodede"
"0522",2015,"anmodning","personer","15","bosatt_anmodede"
"0528",2015,"anmodning","personer","25","bosatt_anmodede"
"0529",2015,"anmodning","personer","25","bosatt_anmodede"
"0532",2015,"anmodning","personer","15","bosatt_anmodede"
"0533",2015,"anmodning","personer","35","bosatt_anmodede"
"0534",2015,"anmodning","personer","35","bosatt_anmodede"
"0536",2015,"anmodning","personer","10","bosatt_anmodede"
"0538",2015,"anmodning","personer","15","bosatt_anmodede"
"0540",2015,"anmodning","personer","10","bosatt_anmodede"
"0541",2015,"anmodning","personer","10","bosatt_anmodede"
"0542",2015,"anmodning","personer","15","bosatt_anmodede"
"0543",2015,"anmodning","personer","10","bosatt_anmodede"
"0544",2015,"anmodning","personer","10","bosatt_anmodede"
"0545",2015,"anmodning","personer","10","bosatt_anmodede"
"0602",2015,"anmodning","personer","130","bosatt_anmodede"
"0604",2015,"anmodning","personer","50","bosatt_anmodede"
"0605",2015,"anmodning","personer","45","bosatt_anmodede"
"0612",2015,"anmodning","personer","15","bosatt_anmodede"
"0615",2015,"anmodning","personer","10","bosatt_anmodede"
"0616",2015,"anmodning","personer","10","bosatt_anmodede"
"0617",2015,"anmodning","personer","10","bosatt_anmodede"
"0618",2015,"anmodning","personer","10","bosatt_anmodede"
