"";"fylkenr";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"naregnr"
"1";"01";182774235;157844400;41070000;116774400;8430048;0;12614187;393300;550800;2941500;45
"2";"02";371602196;317229375;91923200;225306175;23232625;0;23889896;683100;1513700;5053500;149
"3";"03";432915367;390271188;116689000;273582188;9040709;0;26050170;972900;1198900;5381500;9
"4";"04";196552255;166242320;53889620;112352700;14962511;0;11442824;848700;138700;2917200;250
"5";"05";208576389;182322800;54082500;128240300;12141473;0;10120916;703800;550800;2736600;436
"6";"06";242328918,5;210594600;62604500;147990100;11540312;0;15633606,5;952200;273400;3334800;451
"7";"07";158888812;130737400;32592500;98144900;8516377;0;16460835;372600;348800;2452800;343
"8";"08";241103610;205278475;61682500;143595975;14364056;0;17099279;848700;689500;2823600;513
"9";"09";143414870;120811325;26912500;93898825;8389580;0;11728965;289800;138700;2056500;485
"10";"10";229104447;198927500;52670000;146257500;9066990;0;16025357;792900;693500;3598200;508
"11";"11";308213867;273148582;74634182;198514400;14395400;0;15234585;1035000;412100;3988200;983
"12";"12";369169342;340013575;96016700;243996875;2310483;0;19398684;983700;820200;5642700;1455
"13";"13";0;0;0;0;0;0;0;0;0;0;0
"14";"14";105105781;96023725;31006500;65017225;1033600;0;5844556;455400;408100;1340400;1288
"15";"15";198550097;172604650;51200000;121404650;8261087;0;13810260;683100;277400;2913600;1934
"16";"16";257710956;209723550;59542500;150181050;28314973;0;15194733;579600;828200;3069900;1489
"17";"17";176353910;158383250;49300000;109083250;2293474;0;12533586;538200;277400;2328000;1425
"18";"18";372343493;325354250;97951000;227403250;12066871;0;26953672;1366200;958900;5643600;3188
"19";"19";188594900,65;170131132;51839732,65;118291400;0;0;15076768;414000;550800;2422200;1803
"20";"20";133926349;110395675;33644500;76751175;3255885;0;17959589;227700;138700;1948800;1558
